filename,R,G,B,H,S,V,contrast,correlation,energy,homogeneity,label
19255.jpg.jpeg,82.2181321747449,100.00667649872449,131.29591836734693,104.8150709502551,97.12533880739795,132.35981345663265,17.078135009609227,0.9961244700850593,0.03337543256423175,0.3868116096337021,tidak_segar
533653.jpeg,98.29089604591837,107.90587133290816,120.4155572385204,96.06287866709184,59.32182716836735,122.65617028061224,40.33440102498398,0.9914250727019631,0.029117641831022226,0.36967157564052394,tidak_segar
543255353.jpeg,79.06431361607143,79.3452447385204,70.66202965561224,39.62886639030612,78.39166135204081,87.19632892219387,14.888272741832159,0.9962779545559143,0.03865256450660062,0.4481370554436284,tidak_segar
g (2).jpg,136.09378985969389,142.2179328762755,156.82240513392858,89.70878507653062,50.05151865433673,160.4744100765306,51.368834080717484,0.9906569583865019,0.019493744161252054,0.2541992484655958,tidak_segar
g (3).jpg,150.0026705994898,146.3349011479592,147.97251674107142,62.85975366709184,56.94882015306123,159.23796237244898,86.4051689622037,0.9901104567723502,0.049108815857500016,0.3155083713566006,tidak_segar
g (4).jpg,146.0999083227041,137.49659199617346,146.03796635841837,92.56544961734694,43.80777662627551,158.44090800382654,65.86741271620755,0.9761208248487909,0.024901743200073937,0.29185197827703885,tidak_segar
g (5).jpg,143.7295519770408,127.91527822066327,137.14598612882654,121.48756377551021,49.00189333545919,150.6500318877551,85.25080076873799,0.979076326105462,0.019144884258416567,0.23407705759908343,tidak_segar
g (6).jpg,143.68845663265307,130.04452327806123,127.65525350765306,70.46871014030613,50.40292171556123,148.49641262755102,34.28383247918001,0.9929178571730293,0.030879246991898663,0.374429382156219,tidak_segar
g (7).jpg,120.87091438137755,128.78784677933675,144.59731744260205,94.29073660714286,56.18540736607143,147.09851323341837,43.7361467008328,0.9901413005781458,0.020667470175248965,0.261522674673731,tidak_segar
g (8).jpg,133.91358418367346,140.64118303571428,158.77088647959184,94.77772241709184,67.15605070153062,163.60794005102042,52.31239990390775,0.9933581179782853,0.027513704765607692,0.3040571912633845,tidak_segar
g (9).jpg,135.03148915816325,144.19535235969389,159.12820870535714,100.17960778061224,46.98481345663265,160.5272839604592,44.63767216527867,0.9891964903764754,0.020787840186038135,0.26345554888321066,tidak_segar
g.jpg,118.40756536989795,116.04888791454081,121.77198262117346,90.4840162627551,64.8997727997449,130.62342554209184,51.042460762331835,0.9942525106811313,0.0207518391877981,0.27759471627652127,tidak_segar
IMG-20260615-WA0098(1).jpg,157.37240911989795,124.3055644132653,154.0977160395408,143.43987165178572,103.02250079719387,180.4157166772959,37.82411114670083,0.9961664583490142,0.03156178516520556,0.39875569831434665,tidak_segar
IMG-20260615-WA0098(2).jpg,99.69608976403062,88.76106106505102,127.31459263392857,143.57455755739795,127.31070631377551,141.45165019132654,59.01433376040998,0.9911721910090983,0.02785237394108468,0.32079013802141604,tidak_segar
IMG-20260615-WA0098(3).jpg,73.98710538903062,78.35237962372449,131.07672991071428,132.54185267857142,164.69943797831633,139.99904336734693,17.959260890454836,0.9971606944482067,0.051752841238457484,0.5316314382734652,tidak_segar
IMG-20260615-WA0098(4).jpg,129.19373804209184,125.1020208864796,166.08803013392858,132.2847975127551,113.55827487244898,171.91173070790816,48.05070868033312,0.9958938335469516,0.0398651308085561,0.4087666941801085,tidak_segar
IMG_20260615_154415.jpg,98.24834582270408,97.3739237882653,116.84351084183673,72.67695711096938,90.71516262755102,129.92805325255102,33.08123798846893,0.9909166207951071,0.02683489427074751,0.3143979337779141,tidak_segar
IMG_20260615_154625.jpg,140.00281010841837,139.9479432397959,137.04958545918367,55.790058992346935,40.60263871173469,146.65485491071428,76.73484545163356,0.9917837604293674,0.01820375614921391,0.26365316689455537,tidak_segar
IMG_20260615_154651.jpg,132.49711017219389,127.45936304209184,128.99069276147958,47.39166135204081,52.95601482780612,140.93522799744898,85.44226457399103,0.9884687794504731,0.02014332825304164,0.24631640526811394,tidak_segar
IMG_20260615_154718.jpg,125.65238360969387,125.26725924744898,134.7540656887755,71.16454081632654,56.71392697704081,140.88319116709184,94.61438981422165,0.9894789476587429,0.0193545002621629,0.26309924587917966,tidak_segar
IMG_20260615_154746.jpg,137.9530253507653,138.02058753188774,135.64229910714286,57.073022959183675,41.93329480229592,145.06192203443877,74.09475096092248,0.9921599289951217,0.018403575078966675,0.26716764875780014,tidak_segar
IMG_20260615_154828.jpg,63.150609853316325,62.11951929209184,70.8897480867347,114.85122369260205,62.10536910076531,72.97775829081633,10.570807975656631,0.9974373152599949,0.04658823768259527,0.45189890123626564,tidak_segar
IMG_20260615_154910.jpg,100.88767538265306,92.61774553571429,91.34526466836735,60.55805564413265,45.538703762755105,101.84773596938776,21.776445387572068,0.9973310278663778,0.031206561706280302,0.38076857013866106,tidak_segar
IMG_20260615_155021.jpg,101.77804129464286,92.03119021045919,86.20035475127551,48.53174824617347,84.54747289540816,108.32645089285714,21.664177610506087,0.9978455183970026,0.05337530803252215,0.43515621033711627,tidak_segar
IMG_20260615_155058.jpg,65.06449298469387,52.59594228316327,51.36674904336735,59.03334263392857,84.9848931760204,66.21163504464286,14.368293561819348,0.994514916927235,0.03337717366540656,0.4020064380816149,tidak_segar
IMG_20260615_172606.jpg,70.4486009247449,53.43989158163265,87.81576849489795,136.3837292729592,133.0673828125,96.69134646045919,17.969670884048693,0.9955891678865093,0.04471233843698926,0.4271835299939708,tidak_segar
IMG_20260615_172634.jpg,117.02511160714286,91.58155293367346,119.46412627551021,147.76632254464286,81.3774713010204,122.3555683992347,34.90110506085843,0.9946223365425435,0.03653981215925941,0.37238478287797383,tidak_segar
IMG_20260615_172659.jpg,124.43100286989795,68.45772879464286,99.12840800382654,157.74659199617346,139.84988839285714,132.9178093112245,33.05261050608584,0.9943987486857652,0.030761302683648344,0.37807042118424816,tidak_segar
IMG_20260615_172742.jpg,126.32182716836735,87.38966836734694,121.8433912627551,153.1563496492347,119.88767538265306,145.30733816964286,46.82190903267136,0.9909242894147345,0.020363220926964295,0.2764581287709095,tidak_segar
IMG_20260615_172819.jpg,87.02794164540816,70.52250079719387,108.19461495535714,145.6165696747449,132.3767538265306,115.15355947066327,47.066804131966684,0.9928734448471951,0.03879431415439199,0.3696928647378427,tidak_segar
